Id,Feature1,Feature2,Feature3,Feature4,Length,YearConstruction,YearLastFailureObserved,target
12525,T,IAB,-0.569065519329,C,3.1786,2005,,0
16342,T,IAB,-0.569065519329,D,0.5171,2007,,0
13014,P,U,-0.209840627768,D,136.2045,2006,,0
11624,T,IAB,-0.434356184994,C,0.6996,2001,,0
278,P,U,-0.434356184994,C,10.4917,2002,,0
274,P,U,0.314029005758,D,2.7312,2002,,0
6391,P,U,0.314029005758,D,8.7163,1994,,0
7027,T,U,-0.322098406381,C,35.47,1977,,0
11642,P,U,1.06241419651,D,87.891,1994,,0
3874,T,U,-0.569065519329,C,2.024,1979,,0
6379,P,U,-0.509194704069,C,4.087,1994,,0
359,T,U,2.93337717339,M,27.7275,1987,2013.0,0
534,P,U,-0.569065519329,C,15.8609,2002,,0
14602,T,U,-0.569065519329,C,2.557,1987,,0
18176,T,U,-0.434356184994,C,1.499,2012,,0
17594,T,U,0.688221601134,D,2.5919,1976,,0
15275,T,IAB,-0.209840627768,D,11.714,1983,,0
18932,P,U,0.12693270807,D,74.7308,2013,,0
4935,P,U,-0.434356184994,C,14.7652,2000,,0
10011,T,U,5.17853274564,M,254.1627,1992,,0
2333,P,U,-0.569065519329,D,8.0425,2004,,0
16282,P,U,-0.569065519329,D,3.599,2007,,0
16349,T,IAB,-0.569065519329,D,4.5642,1967,,0
1457,T,IAB,-0.322098406381,D,11.7751,1998,,0
16135,T,IAB,-0.322098406381,C,7.6623,1989,,0
2602,P,U,-0.509194704069,C,13.4412,2004,,0
5319,T,IAB,-0.434356184994,C,2.6475,2001,,0
12741,P,U,0.688221601134,D,143.7731,2005,,0
14134,T,U,2.93337717339,M,2.6064,1984,,0
17128,T,U,-0.322098406381,D,0.6561,1987,,0
3923,P,U,-0.434356184994,C,8.8204,1998,,0
8414,T,IAB,-0.060163589618,D,0.9991,1973,,0
13902,P,U,0.688221601134,D,57.5099,1996,,0
12937,T,IAB,0.314029005758,C,10.2619,1983,,0
15248,T,U,4.43014755489,M,495.5381,1986,,0
10172,P,U,-0.509194704069,C,5.4932,1993,,0
18818,P,U,-0.434356184994,D,9.6539,2013,,0
1605,T,IAB,-0.569065519329,C,3.8705,2002,,0
7096,T,IAB,-0.434356184994,C,2.3609,1977,,0
967,P,U,-0.322098406381,C,3.8678,2003,,0
17605,P,U,-0.060163589618,D,26.4456,2011,,0
5309,T,IAB,-0.434356184994,C,3.4972,1995,,0
11694,T,IAB,-0.434356184994,C,0.6995,2001,,0
6700,T,IAB,-0.060163589618,C,1.572,1977,,0
16676,P,U,-0.209840627768,D,2.0514,2009,,0
13261,P,U,-0.209840627768,D,20.9199,2006,,0
13965,T,IAB,-0.322098406381,D,12.5762,1981,,0
12194,P,U,-0.434356184994,D,27.2526,1994,,0
11870,P,U,-0.509194704069,C,11.4107,1993,,0
14642,P,U,0.314029005758,D,3.8472,1998,,0
19268,P,U,-0.209840627768,D,63.9178,2008,,0
1601,T,IAB,1.06241419651,D,0.3033,2001,,0
806,T,U,0.12693270807,D,14.6726,1980,2005.0,0
8026,T,U,-0.434356184994,C,53.3345,1972,,0
3560,T,IAB,-0.434356184994,C,3.1352,1994,,0
13657,P,U,0.314029005758,D,29.5329,2000,,0
2091,P,U,-0.060163589618,D,38.8449,2001,,0
12995,P,U,-0.434356184994,C,41.684,2006,,0
8883,T,IAB,-0.434356184994,C,1.2822,1970,,0
13382,T,IAB,-0.434356184994,D,0.4992,2006,,0
14809,T,IAB,0.12693270807,D,0.6097,1979,,0
8864,T,U,-0.209840627768,D,160.8616,1969,,0
5101,T,IAB,-0.509194704069,C,4.5613,1984,,0
4960,T,IAB,-0.434356184994,C,9.5934,2004,,0
9492,T,IAB,-0.434356184994,C,0.2893,1986,,0
10146,T,IAB,-0.322098406381,C,1.9987,2001,,0
15243,T,IAB,-0.060163589618,C,1.1306,1985,,0
12178,T,U,0.688221601134,D,78.0609,1976,,0
368,T,IAB,-0.434356184994,C,5.1585,2002,,0
11183,T,IAB,-0.434356184994,C,3.9972,1996,,0
8143,T,U,-0.322098406381,D,63.2448,1973,,0
17485,P,U,-0.569065519329,C,83.5639,2011,,0
15014,T,IAB,-0.509194704069,C,1.4987,2004,,0
1713,T,IAB,-0.434356184994,D,12.786,1978,,0
12123,T,U,1.06241419651,D,45.2402,1987,,0
928,P,U,-0.569065519329,C,41.2657,2003,,0
4225,T,IAB,-0.509194704069,C,9.2084,2003,,0
1285,P,U,4.43014755489,M,134.3438,2003,,0
17628,P,U,0.688221601134,D,51.9428,2011,,0
913,P,U,0.12693270807,D,57.3109,2003,,0
24,T,IAB,5.92691793639,M,1.3348,2013,,0
3544,P,U,-0.434356184994,C,9.1705,1998,,0
3834,T,IAB,-0.434356184994,D,4.4443,1975,,0
4023,P,U,-0.322098406381,D,26.876,2000,,0
1475,T,IAB,-0.569065519329,C,1.0001,1990,,0
13079,T,U,-0.434356184994,M,3.3572,1970,,0
5947,T,U,0.688221601134,D,2.2609,1986,,0
16307,P,U,-0.322098406381,D,48.1627,2007,,0
12719,P,U,0.12693270807,D,39.5192,2005,,0
16063,T,U,-0.322098406381,C,14.4273,1987,,0
10673,T,IAB,-0.569065519329,C,1.8005,1974,,0
2482,T,IAB,-0.569065519329,C,1.5173,2004,,0
30,T,O,-0.434356184994,M,4.7702,1978,,0
18849,T,U,-0.209840627768,C,7.7936,2013,,0
6161,P,U,-0.322098406381,D,32.3563,1999,,0
5329,P,U,-0.434356184994,C,15.1956,2001,,0
13507,P,U,-0.569065519329,D,40.6937,2006,,0
11867,P,U,-0.060163589618,D,89.0113,1993,,0
6681,T,IAB,-0.209840627768,C,15.2058,1965,,0
2001,T,IAB,-0.434356184994,C,1.9984,2004,,0
19179,P,U,0.688221601134,D,71.5545,2008,,0
3308,P,U,0.314029005758,D,81.6285,1995,,0
2593,T,IAB,-0.322098406381,D,55.0385,1963,2012.0,0
13470,P,U,-0.322098406381,D,95.5365,2006,,0
11457,T,U,-0.060163589618,D,11.3351,1987,,0
15956,T,U,-0.322098406381,D,29.967,1989,,0
15989,T,U,0.12693270807,D,122.1927,1991,,0
2130,P,U,-0.509194704069,C,13.1191,2004,,0
18863,P,U,0.314029005758,D,19.3642,2013,,0
14574,T,U,-0.569065519329,C,3.8989,1977,,0
6088,T,U,0.12693270807,D,50.1855,1977,,0
1582,T,IAB,-0.509194704069,C,2.2845,1993,,0
17249,P,U,1.06241419651,D,159.658,2005,,0
11584,P,U,-0.060163589618,D,43.4637,2004,,0
11266,T,IAB,-0.322098406381,C,2.9985,1980,,0
5617,P,U,-0.509194704069,C,4.3534,1999,,0
10946,T,IAB,-0.322098406381,C,13.6045,1995,,0
14063,T,U,-0.209840627768,D,37.6696,1987,,0
244,T,IAB,-0.434356184994,C,6.0628,2002,,0
8655,T,U,-0.209840627768,D,78.9532,1971,,0
1692,T,IAB,-0.322098406381,D,10.9933,2001,,0
9887,T,IAB,-0.509194704069,C,35.015,1969,,0
17776,P,U,-0.322098406381,D,24.4472,2010,,0
15859,T,IAB,-0.322098406381,C,4.7427,1989,,0
18990,P,U,-0.209840627768,D,18.3696,2013,,0
4747,P,U,-0.509194704069,C,16.7949,2001,,0
1108,P,U,0.12693270807,D,76.3071,2003,,0
1431,T,IAB,-0.569065519329,C,3.1984,2003,,0
2502,P,U,-0.434356184994,C,15.8689,2004,,0
4369,T,IAB,-0.322098406381,D,5.986,1993,,0
8957,T,IAB,-0.434356184994,C,6.9957,2000,,0
2525,T,IAB,-0.509194704069,C,1.2482,2004,,0
13406,P,U,-0.509194704069,D,10.9125,2006,,0
3928,T,IAB,-0.509194704069,C,3.9587,1977,,0
10168,P,U,-0.322098406381,C,92.394,1993,,0
11992,P,U,1.06241419651,D,17.0378,1999,,0
12720,P,U,-0.434356184994,C,18.502,2005,,0
17727,P,U,-0.569065519329,D,12.3105,2012,,0
16738,T,U,-0.509194704069,C,27.4829,1974,,0
3694,P,U,-0.434356184994,D,2.4471,1999,,0
11307,P,U,-0.322098406381,C,9.7604,1999,,0
9327,P,U,-0.434356184994,C,10.6226,1999,,0
307,P,U,-0.509194704069,C,38.148,2002,,0
3944,T,IAB,-0.434356184994,C,36.5557,1973,,0
8527,T,IAB,-0.509194704069,D,0.2589,1979,,0
3080,P,U,-0.322098406381,C,9.5751,2000,,0
9261,T,IAB,0.12693270807,D,6.596,1994,,0
9958,T,U,-0.569065519329,C,23.9977,1976,,0
4105,T,U,-0.569065519329,D,3.9982,1980,,0
4996,T,U,0.12693270807,C,2.2619,1973,,0
7607,T,IAB,-0.322098406381,C,1.3876,1986,,0
18293,P,U,-0.060163589618,D,16.7308,2011,,0
8572,T,U,-0.434356184994,C,33.6362,1989,,0
6641,P,U,-0.434356184994,C,4.1537,2000,,0
1286,P,U,-0.434356184994,M,181.3477,1995,,0
9796,T,IAB,-0.509194704069,C,5.9948,1998,,0
10629,T,U,-0.509194704069,C,4.2569,1987,,0
17771,P,U,-0.509194704069,C,27.181,2010,,0
7257,T,IAB,-0.322098406381,C,5.9955,1983,,0
4085,T,IAB,-0.569065519329,C,2.9403,1980,,0
2051,P,U,-0.434356184994,D,114.9091,2005,,0
9907,T,IAB,-0.209840627768,C,0.7947,1982,,0
533,P,U,-0.322098406381,D,1.6479,2002,,0
5135,T,IAB,-0.209840627768,D,7.8119,1994,,0
9926,T,U,1.43660679189,D,78.5362,1976,,0
10667,T,U,0.12693270807,D,50.7642,1973,,0
12350,T,IAB,0.688221601134,D,40.0243,1969,,0
9263,P,U,-0.060163589618,D,28.2653,1994,,0
6994,T,IAB,0.314029005758,D,3.6946,1977,,0
4169,P,U,0.314029005758,C,48.9699,1992,,0
4961,T,IAB,-0.434356184994,C,9.7932,2004,,0
11819,T,U,-0.434356184994,C,38.4124,1976,,0
9534,T,U,-0.509194704069,C,24.2544,1979,,0
8955,P,U,-0.322098406381,C,43.0232,2000,,0
