id,pclass,sex,age,sibsp,parch,fare,cabin,embarked,survived
772,3,1,-1.0,1,0,19.9667,0,2,0
543,1,0,54.0,1,0,59.4,0,0,1
289,2,0,48.0,0,2,36.75,0,2,1
10,3,1,34.0,1,1,14.4,0,2,0
147,2,0,33.0,0,2,26.0,0,2,1
348,3,0,23.0,0,0,8.05,0,2,1
983,3,0,14.0,0,0,7.8542,0,2,0
825,1,1,40.0,0,0,27.7208,0,0,0
350,1,0,44.0,0,1,57.9792,1,0,1
900,3,1,24.0,2,0,24.15,0,2,0
458,3,0,38.0,1,5,31.3875,0,2,1
985,1,0,-1.0,0,0,27.7208,0,0,1
277,3,1,21.0,0,0,7.7333,0,1,0
365,3,1,-1.0,0,0,7.8958,0,2,0
135,2,1,24.0,2,0,31.5,0,2,0
869,3,1,22.0,0,0,7.7958,0,2,0
298,3,0,-1.0,0,0,8.1125,0,2,0
1073,3,1,19.0,0,0,8.05,0,2,0
1203,3,1,-1.0,0,0,7.75,0,1,0
893,1,0,39.0,1,1,83.1583,1,0,1
158,1,0,47.0,1,1,52.5542,1,2,1
1264,3,1,25.0,0,0,7.65,1,2,0
1135,3,1,18.0,0,0,7.7958,0,2,0
514,3,1,20.0,0,0,7.8542,0,2,0
771,3,1,21.0,0,0,7.75,0,1,0
467,3,1,40.5,0,0,7.75,0,1,0
823,3,1,4.0,4,2,31.275,0,2,0
915,3,1,22.0,1,0,7.25,0,2,0
1081,3,1,-1.0,0,0,7.2292,0,0,0
96,1,0,60.0,1,4,263.0,1,2,1
352,2,1,30.0,0,0,13.0,0,2,0
296,2,0,8.0,1,1,26.0,0,2,1
765,3,0,2.0,4,2,31.275,0,2,0
889,3,1,-1.0,0,0,7.75,0,1,1
156,1,1,18.0,1,0,108.9,1,0,0
591,2,1,25.0,0,0,13.0,0,2,0
477,2,0,34.0,1,1,32.5,0,2,1
485,1,0,21.0,2,2,262.375,1,0,1
435,3,1,25.0,0,0,7.8958,0,2,0
1240,3,1,21.0,1,0,6.4958,0,2,0
670,1,0,30.0,0,0,86.5,1,2,1
428,1,1,65.0,0,0,26.55,1,2,0
471,1,1,24.0,1,0,60.0,1,2,0
306,2,1,59.0,0,0,13.5,0,2,0
594,2,0,20.0,0,0,36.75,0,2,1
774,1,0,-1.0,1,0,51.8625,1,2,1
1297,1,0,45.0,0,0,262.375,0,0,1
1084,1,1,49.0,1,1,110.8833,1,0,0
665,1,1,42.0,1,0,52.5542,1,2,1
620,2,1,3.0,1,1,18.75,0,2,1
1125,3,1,-1.0,0,0,7.8292,0,1,0
979,3,1,32.0,0,0,56.4958,0,2,1
178,3,1,-1.0,1,0,16.1,0,2,0
287,3,1,19.0,0,0,0.0,0,2,0
820,3,1,24.0,0,0,7.55,0,2,1
1023,3,1,23.0,0,0,7.8542,0,2,0
294,1,1,53.0,1,1,81.8583,1,2,1
888,3,1,-1.0,0,0,7.8958,0,2,0
415,2,1,27.0,0,0,13.0,0,2,0
968,1,1,39.0,0,0,29.7,1,0,0
