class,cap-diameter,cap-shape,cap-surface,stem-width,has-ring
e,Tiny,Convex,Hairy,6.58,f
e,Tiny,Convex,Dry,33.89,f
e,Tiny,Flat,Silky,17.44,t
e,Tiny,Flat,Hairy,3.72,f
p,Tiny,Bell,Textured,6.08,t
e,Tiny,Bell,Grooved,3.23,f
p,Moderate,Convex,Grooved,2.51,f
e,Tiny,Flat,Dry,14.01,f
e,Tiny,Convex,Hairy,4.21,t
p,Tiny,Convex,Grooved,2.42,f
e,Tiny,Flat,Silky,6.19,f
e,Tiny,Flat,Wrinkled,2.74,f
e,Tiny,Flat,Scaly,12.29,t
p,Small,Convex,Grooved,16.05,t
e,Tiny,Sunken,missing,7.06,f
p,Small,Flat,Sticky,6.25,t
p,Tiny,Convex,Scaly,3.58,t
e,Tiny,Convex,Silky,11.67,t
e,Tiny,Flat,Wrinkled,2.38,f
p,Small,Convex,Textured,17.49,f
e,Tiny,Flat,Hairy,5.56,f
p,Moderate,Flat,missing,13.9,f
e,Tiny,Flat,Silky,12.62,f
e,Tiny,Bell,Scaly,3.62,f
e,Tiny,Convex,Textured,15.98,t
p,Small,Sunken,Wrinkled,4.29,f
p,Moderate,Flat,Wrinkled,5.81,f
p,Tiny,Flat,missing,6.73,f
p,Small,Others,Textured,15.4,f
p,Small,Sunken,Sticky,35.49,f
p,Moderate,Others,Silky,0.0,f
p,Tiny,Flat,missing,5.55,f
p,Small,Bell,missing,2.44,f
e,Tiny,Others,Scaly,34.65,f
p,Small,Convex,Scaly,9.75,t
e,Tiny,Punctate,missing,12.93,f
p,Tiny,Convex,Hairy,7.03,t
p,Moderate,Convex,Scaly,3.64,t
e,Tiny,Convex,Scaly,7.05,f
p,Tiny,Convex,Smooth,21.87,f
e,Tiny,Convex,Textured,18.9,t
p,Tiny,Sunken,Sticky,4.97,t
p,Tiny,Convex,Dry,9.69,f
p,Small,Convex,missing,10.89,f
p,Moderate,Bell,Silky,7.95,t
p,Small,Convex,Hairy,17.41,t
p,Tiny,Convex,Smooth,11.12,t
e,Tiny,Flat,Silky,9.95,f
e,Tiny,Punctate,Scaly,18.3,t
e,Tiny,Convex,Smooth,17.14,t
e,Tiny,Convex,Hairy,5.56,t
p,Tiny,Convex,Dry,2.46,f
p,Tiny,Flat,missing,13.67,f
p,Moderate,Convex,Grooved,2.45,f
e,Tiny,Convex,Grooved,1.0,f
e,Tiny,Others,missing,21.87,f
p,Moderate,Flat,Scaly,19.35,f
e,Tiny,Convex,Scaly,10.43,f
p,Small,Flat,Scaly,3.54,t
e,Tiny,Convex,Textured,17.42,f
e,Tiny,Conical,Hairy,13.39,f
e,Tiny,Flat,Scaly,17.96,t
e,Tiny,Flat,Silky,7.45,f
p,Tiny,Flat,missing,7.69,f
p,Small,Flat,Hairy,14.57,t
p,Small,Convex,Hairy,31.71,f
p,Moderate,Convex,missing,6.72,f
p,Small,Bell,Grooved,2.55,f
e,Tiny,Flat,Hairy,5.25,f
p,Tiny,Convex,Scaly,13.21,t
p,Tiny,Convex,Textured,28.31,f
p,Small,Flat,missing,1.04,f
e,Tiny,Convex,Hairy,7.23,f
e,Tiny,Sunken,missing,25.72,f
e,Tiny,Punctate,Scaly,18.15,t
e,Tiny,Convex,missing,12.24,t
e,Tiny,Flat,Hairy,6.38,f
p,Moderate,Bell,Grooved,2.64,f
p,Small,Sunken,Dry,5.6,f
p,Tiny,Convex,missing,31.41,f
e,Tiny,Convex,Hairy,6.44,f
p,Small,Bell,Grooved,2.93,f
p,Moderate,Convex,Grooved,2.77,f
p,Small,Others,missing,16.52,f
p,Small,Bell,Textured,5.02,t
p,Tiny,Convex,Silky,14.42,f
e,Tiny,Flat,Scaly,17.16,t
p,Tiny,Flat,Grooved,18.35,t
e,Tiny,Flat,Scaly,18.92,t
p,Tiny,Flat,Hairy,3.34,f
e,Tiny,Sunken,missing,19.41,f
e,Tiny,Flat,Scaly,22.89,t
e,Tiny,Flat,Smooth,26.54,f
p,Tiny,Sunken,Textured,12.58,t
p,Moderate,Flat,Dry,9.46,f
p,Moderate,Convex,Silky,8.02,t
e,Tiny,Flat,Silky,15.45,f
e,Tiny,Convex,Dry,7.22,f
