id,station_id,Date,Temp_max,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Press_max,Press_avg,Press_min,Precipit
1004,2,2018-02-26,67.9693729683499,60.38881034853779,55.22571401905924,55.10478905458984,59.387959877001606,54.75616619732167,96.8538645133842,80.5984581411967,60.20730533640113,12.935214882935778,7.712412816265637,5.116875091654424,30.668983478856248,28.96007493918815,29.62909127052435,1.012361566963517
196,2,2016-09-17,95.94860058164736,88.05019457729799,78.07511807506161,83.05273109104559,72.8943905446807,76.95917353307203,100.0,85.43215066303752,48.03228939722089,8.694016104824613,2.9264329342574285,0.0,27.286810053088868,29.300076371904375,29.47617148164784,0.010421467928667138
1618,2,2019-03-03,64.49288497014378,51.92372364820396,44.04747194091922,63.844376989863036,52.23021343507276,37.018403546819385,100.0,92.92799635268833,77.40588827579221,24.50658892986459,11.785034860873408,0.0,28.800922588894633,27.54136940388872,30.946840714383423,0.07723192809120424
1708,2,2019-04-29,96.537127895691,79.61046951560087,63.83214764811541,78.17258503554739,68.29592145366031,66.61320683889682,88.50066762993428,73.56171324090263,60.27085785089203,19.7952130025651,12.432935423178265,4.878248741017256,30.063147210637286,27.58112819985191,26.62513491709777,0.0
435,2,2017-03-08,100.15485392775176,77.66506111337084,79.27276270314233,75.55087020121368,74.05627011412342,73.90343899517838,98.14521806176568,84.27403328235496,57.86891706481085,12.908236370370577,5.2834801172191685,2.8165175937406404,28.923667783148822,32.50236462296437,31.766098384496285,0.09455511645400758
321,2,2016-12-29,74.79847002719447,61.90013113377398,54.06107576404085,64.82548861157899,42.995485488511214,22.58714647489786,88.91654324725593,54.39073915066552,23.463508980952465,22.653427532183468,14.03594362575663,6.901309970730383,32.93713540341703,29.73609094949514,32.571666091975295,0.0
1472,3,2018-12-09,83.31747834257568,82.64772469968457,79.51045936931625,72.9281910350901,75.79511702927076,72.98227403415028,100.0,90.70651168935932,66.68579616088003,15.127034091764559,9.109564141588267,3.168866668686505,28.988951091897402,32.01517335689745,27.798164356544437,0.02948392621402456
1703,3,2019-04-25,86.97669372902611,72.34592517431051,68.97624466290046,69.54272141380571,60.91280979807996,52.15622752514792,96.44326118844995,80.49688355119287,38.76785495179712,15.651982669279052,8.194350838038531,0.0,31.02435604487671,30.584697096042056,30.149128440442144,0.07210300561763049
900,3,2017-12-28,40.69003382998784,40.61839437745684,37.27880539681552,38.91070723323281,37.96537522965425,35.23100402336131,92.18723230131687,75.8304217003082,75.71041916471164,10.9794153371615,7.675482398056219,5.854248486990458,30.657787845692955,30.348495407016305,32.672697756342224,0.020938751045681436
1057,1,2018-04-07,78.0,75.5,72.0,77.0,74.0,72.0,100.0,95.4,84.0,12.0,5.8,0.0,30.0,29.9,29.8,0.04
1984,2,2019-10-21,82.3038333329217,81.30768341391196,61.41753642799753,71.28206789354992,61.59147823279263,44.15583872200993,81.33916840553913,68.51431486041707,48.403965910534225,22.04631712525148,8.655165492790752,2.846559741182702,31.665783781652078,30.417547415667514,27.1069621975773,0.2572303762809155
