Seating Capacity,Average Meal Price,Social Media Followers,Revenue
30,26.58,16181,194802.93
32,26.18,31351,200167.97
32,25.58,48708,203278.48
31,25.9,30941,204393.75
31,25.47,41263,204477.99
30,28.63,15756,204822.26
31,27.06,14757,206323.69
31,28.3,23985,207068.35
30,29.77,9309,209779.21
32,27.06,36283,210381.25
32,27.82,28082,211410.84
32,27.83,45473,213878.04
30,28.32,25459,214017.13
33,27.07,40168,215872.8
30,28.57,45217,216131.62
34,27.37,32315,216867.03
32,27.78,40261,218020.67
31,30.34,23064,218031.18
33,27.03,40816,218308.37
35,25.33,35289,218614.94
31,28.8,18038,218872.9
36,25.24,46384,220967.78
32,27.3,37147,221435.45
32,29.41,23983,222491.82
32,28.05,30316,223590.4
31,29.46,47904,225923.9
30,32.26,19365,226350.71
32,30.31,34642,226556.17
30,32.64,28455,226983.75
30,29.94,30937,227476.97
34,26.82,18263,227656.75
34,27.15,25092,228189.75
32,28.26,42610,228216.28
36,26.53,12412,228362.02
32,28.45,25328,228929.85
37,25.51,15426,229048.66
33,28.45,43363,229317.35
32,31.3,33675,229777.75
33,28.83,10325,229857.53
36,26.69,48921,230023.52
30,32.38,29846,230308.84
33,28.73,31077,230388.41
30,32.38,14971,230841.05
33,28.37,20658,230940.58
36,25.43,31072,231873.14
31,30.03,23386,232088.78
30,32.12,24176,232206.66
39,25.21,25636,233088.32
34,30.09,12461,234082.44
30,32.08,27964,234424.86
41,25.08,18730,234508.82
38,26.62,14499,234772.97
32,29.82,13070,234893.18
31,31.72,22969,235484.71
34,29.34,25250,235654.18
33,31.02,16502,236172.16
30,31.2,52999,236325.95
30,33.12,46903,236445.91
33,31.04,21294,236810.4
38,26.48,42729,236891.17
37,27.46,27723,237042.17
37,27.33,32346,237108.17
34,28.5,36760,237675.0
35,27.45,47247,237900.35
37,27.58,35491,238707.03
31,32.26,45296,238793.1
31,32.12,32368,239245.14
38,25.11,21310,239383.06
39,25.09,9244,239481.66
32,31.98,28788,239613.84
38,26.56,17126,239631.78
32,30.43,10526,239883.67
31,32.29,39405,240205.79
32,32.34,13048,240383.34
36,27.86,34714,242284.54
40,25.4,50560,242484.8
32,29.81,48795,242797.5
37,27.77,30755,242860.2
40,25.34,45894,244185.4
31,32.19,21913,244599.49
32,32.58,8835,244849.07
31,32.85,31303,245247.05
30,34.89,22102,245447.48
34,29.1,27294,245566.2
32,31.75,28590,245727.25
33,30.23,17910,246074.73
33,31.54,12567,246703.11
32,30.65,42313,246847.95
37,27.41,27475,247253.86
33,30.37,24167,247296.12
34,30.24,18055,247325.13
33,32.15,25428,247355.9
30,34.94,36830,247449.64
30,33.18,28740,247623.08
34,29.87,50935,248382.22
31,33.15,27364,248415.2
32,31.55,43039,248670.5
32,31.4,39932,248788.0
37,29.32,17772,248818.58
30,34.23,31146,248833.38
32,31.24,20911,249090.69
31,34.2,36616,249309.6
32,33.17,15767,249626.5
30,35.63,16433,250607.65
41,26.27,29027,251031.79
34,32.21,13282,251075.61
33,31.07,47750,251251.75
41,25.19,26625,251663.26
32,33.46,36352,252226.36
34,30.1,33431,252450.65
32,33.39,26454,252726.37
37,28.72,20958,252795.38
39,26.48,10102,252972.48
35,30.16,45112,253019.54
40,25.73,20876,253065.07
43,25.08,47239,253450.71
39,26.86,25430,253708.48
40,26.77,27680,253920.07
40,25.66,44558,254193.84
35,30.09,32495,254195.53
32,32.99,17860,254229.13
33,33.14,24091,254653.53
30,34.01,26704,254659.25
31,34.73,16071,254714.26
31,33.71,18347,254764.27
35,31.43,12814,254981.05
34,30.26,35716,254987.48
33,31.71,50125,255243.24
32,33.19,38443,255354.37
35,30.76,42075,255540.95
35,147.63153534684352,17962,256523.08
35,30.67,29486,256525.49
31,34.04,17549,256541.51
38,28.71,22277,256692.86
30,37.65,17586,257001.35
36,28.62,39742,257706.94
34,30.49,33663,258553.97
40,26.17,49152,258973.45
31,34.58,38419,259264.75
35,30.51,30247,259336.24
34,32.21,17135,259358.65
40,27.64,25270,259571.12
34,33.3,22423,259869.05
43,25.39,22008,259975.67
30,35.38,16404,259994.0
30,36.46,37348,260013.76
34,33.19,17350,260049.33
32,34.22,12067,260276.39
36,30.07,10398,260403.59
41,26.6,31759,261216.85
34,31.85,16483,261426.4
43,25.7,46820,261690.5
31,35.21,9475,261942.39
32,32.54,43804,262258.24
34,33.2,30846,262645.8
35,30.72,43288,262883.5
38,28.69,25639,263220.86
30,36.16,7740,263288.52
30,37.64,24341,263290.63
38,29.87,35258,263335.84
32,35.06,22686,263359.02
32,35.47,26475,66324.01881260758
42,25.99,43598,264585.71
35,31.51,34115,264627.62
39,29.25,7601,265239.05
35,30.79,43837,265323.5
32,35.48,37639,265357.29
33,32.42,20174,265667.4
31,36.36,14471,265691.53
36,30.2,51601,265842.25
32,33.65,32676,265905.1
34,32.71,36027,266025.52
32,34.23,39012,266382.26
31,37.33,16328,266616.23
43,25.74,27724,266757.48
31,34.53,47743,267081.42
32,34.22,28155,267137.77
44,26.12,19256,267356.8
32,35.15,30345,267477.1
38,30.04,19437,268901.13
41,28.23,22415,269790.2
41,27.18,47124,270004.18
34,33.77,14792,270128.31
36,30.33,19305,270281.13
31,36.15,26583,270544.95
36,32.63,11604,270657.24
35,33.62,18927,271083.01
42,27.34,39785,271183.47
40,27.6,41419,271633.65
37,29.62,42639,271745.43
32,36.35,19840,272392.05
30,37.58,46201,272530.81
32,35.52,30026,272692.18
35,32.91,29131,272818.12
31,36.77,44949,272952.37
32,36.97,30479,273435.08
39,28.36,39609,273582.39
36,32.67,10994,273757.39
31,35.29,45202,273767.27
32,34.74,34926,273777.02
39,28.56,22539,273902.73
41,29.49,13713,274467.14
32,35.23,18773,274548.08
35,31.3,43818,274593.8
32,35.79,31430,274636.6
31,38.6,14320,274742.8
32,35.43,21427,274973.42
38,30.78,17894,275489.78
31,37.24,35969,275570.79
34,34.97,20129,275985.67
31,37.63,24990,276035.36
33,36.38,39797,276042.95
33,35.65,22351,276124.25
32,35.7,19747,276198.75
33,33.95,30081,276436.05
35,32.72,17603,276669.13
43,26.5,12787,276860.35
34,33.03,29737,277325.54
36,31.84,34140,277325.6
42,28.58,20263,277632.45
38,29.98,19314,278444.98
34,35.83,23662,278992.02
32,37.56,22776,279098.26
43,27.49,27645,279207.97
34,35.53,21946,279254.87
