iter	RMSE
0	321211.0563
1	320050.5917
2	318902.5437
3	317796.2098
4	315337.9579
5	313484.4968
6	312640.108
7	311007.3852
8	308547.1106
9	306021.0518
10	304487.2333
11	302319.2454
12	300157.8644
13	298861.2902
14	297331.901
15	296553.2644
16	295247.1598
17	292913.6166
18	290557.0834
19	288519.6309
20	286696.4338
21	285236.7204
22	284556.6152
23	282549.9024
24	280195.7659
25	278118.9039
26	276240.6155
27	274206.1007
28	273046.5862
29	271133.5836
30	270241.0398
31	267775.1948
32	267144.4828
33	265377.1488
34	263348.909
35	262514.1084
36	259702.1187
37	257658.1938
38	255296.8334
39	253063.011
40	251690.0509
41	250320.853
42	249411.1577
43	248159.3361
44	246714.1968
45	244937.2841
46	242939.6839
47	241673.9465
48	240626.1895
49	240094.9008
50	239569.7304
51	238934.3957
52	237774.9525
53	236071.6356
54	234658.3283
55	233916.1232
56	232982.6399
57	230775.2038
58	229417.6016
59	228853.7808
60	227823.1683
61	226476.6288
62	224957.5196
63	224490.9127
64	222817.1279
65	221559.5815
66	220078.8904
67	218893.5126
68	217369.9384
69	216925.3082
70	215818.8831
71	215142.1513
72	214094.9761
73	212040.7306
74	210583.5206
75	209081.0586
76	208011.7386
77	207444.591
78	206350.9976
79	205655.2246
80	204327.5195
81	203441.6657
82	201758.7464
83	201023.9863
84	199141.9209
85	198694.8979
86	197218.7229
87	196048.742
88	194983.7351
89	193423.1801
90	192789.7145
91	191719.5278
92	191214.6673
93	190016.845
94	188914.8889
95	188554.8871
96	187406.7176
97	186425.2518
98	184698.7964
99	183990.7992
100	182551.7591
101	181119.3656
102	180092.3941
103	178758.5793
104	177428.356
105	175894.9675
106	175251.4141
107	173865.379
108	172763.2719
109	171875.9279
110	171255.3043
111	170094.9401
112	169299.7318
113	168567.4644
114	167938.7524
115	167183.4585
116	165777.8982
117	165287.9118
118	164930.6228
119	163539.7286
120	162279.2848
121	160821.2486
122	159705.5375
123	159267.8636
124	157653.7291
125	157289.4078
126	156725.3409
127	155653.941
128	154793.5645
129	153618.1429
130	153020.6818
131	152314.3863
132	151280.9237
133	150486.313
134	149301.3855
135	148871.1304
136	148314.6394
137	147193.8412
138	146463.8003
139	145467.9608
140	144688.1144
141	143513.0648
142	142625.5746
143	142141.5616
144	140812.2791
145	140020.5048
146	139421.5814
147	138216.8544
148	137626.5398
149	136581.7422
150	136282.3169
151	135744.9355
152	134748.9769
153	133561.5757
154	133117.243
155	132146.5089
156	131209.736
157	130114.3136
158	129650.7566
159	128640.7323
160	127496.3336
161	126917.8407
162	126504.9994
163	125475.9695
164	125011.4692
165	123986.523
166	122793.2774
167	121785.3779
168	121251.1787
169	120680.5839
170	120279.3751
171	119364.9737
172	118738.8151
173	117887.3638
174	117531.362
175	116467.6175
176	115363.8879
177	114539.8449
178	113998.1666
179	112862.443
180	111851.2961
181	111178.5582
182	110448.4392
183	110048.1097
184	109635.5738
185	109057.0595
186	108405.4791
187	107773.8363
188	106705.7206
189	106233.3469
190	105255.2418
191	104745.0621
192	103751.4452
193	103305.8142
194	102847.3946
195	101935.4258
196	100901.7558
197	100494.1115
198	100074.0845
199	99672.1476
200	99184.01384
201	98565.79909
202	97596.17826
203	96724.73683
204	96279.02774
205	95854.02825
206	95344.25051
207	94825.17908
208	94259.13743
209	93856.9702
210	93427.34861
211	93083.17669
212	92307.8564
213	91445.86641
214	90655.83805
215	89733.83213
216	89269.57905
217	88918.13463
218	88491.06798
219	88150.57441
220	87320.03068
221	86620.82679
222	85828.654
223	85510.77878
224	84753.87982
225	84381.64319
226	83998.64297
227	83606.42326
228	83273.45959
229	82937.81935
230	82072.54917
