iter	Passed	Remaining
0	1	1454
1	2	1384
2	3	1167
3	3	937
4	4	909
5	5	980
6	6	909
7	7	872
8	8	919
9	9	947
10	10	942
11	11	911
12	11	906
13	12	906
14	13	876
15	13	834
16	14	867
17	15	843
18	17	903
19	19	959
20	20	939
21	20	932
22	21	915
23	22	908
24	23	903
25	24	906
26	25	923
27	26	914
28	26	892
29	27	884
30	28	880
31	29	884
32	30	899
33	31	890
34	31	880
35	32	863
36	33	879
37	34	879
38	35	872
39	36	865
40	38	908
41	39	891
42	39	887
43	40	881
44	41	872
45	41	864
46	42	857
47	42	846
48	43	842
49	43	827
50	43	813
51	43	801
52	44	797
53	45	791
54	45	780
55	45	772
56	46	771
57	47	767
58	47	764
59	48	757
60	49	757
61	49	751
62	52	776
63	52	769
64	54	777
65	55	781
66	56	780
67	56	778
68	57	778
69	57	768
70	59	778
71	59	772
72	61	775
73	61	773
74	62	768
75	62	765
76	63	762
77	63	755
78	64	750
79	64	746
80	65	739
81	65	736
82	66	733
83	66	729
84	67	728
85	68	722
86	68	723
87	69	719
88	70	718
89	71	718
90	71	712
91	72	711
92	72	707
93	73	710
94	74	710
95	74	704
96	75	705
97	76	703
98	77	702
99	77	698
100	78	699
101	79	697
102	79	695
103	80	693
104	81	691
105	81	688
106	82	686
107	83	686
108	84	688
109	84	687
110	86	691
111	87	691
112	87	688
113	88	684
114	88	684
115	89	685
116	90	683
117	91	680
118	91	676
119	92	676
120	93	676
121	94	676
122	94	675
123	95	671
124	95	669
125	95	665
126	96	664
127	97	665
128	102	688
129	102	688
130	103	689
131	104	688
132	105	688
133	106	685
134	107	688
135	107	684
136	107	679
137	108	679
138	109	680
139	110	677
140	110	675
141	111	674
142	112	672
143	112	670
144	113	669
145	114	667
146	114	665
147	115	663
148	115	662
149	116	661
150	117	657
151	117	656
152	118	653
153	118	652
154	119	653
155	120	651
156	121	650
157	123	656
158	124	657
159	124	654
160	125	652
161	125	651
162	126	648
163	126	646
164	127	644
165	127	642
166	128	641
167	129	639
168	129	637
169	130	635
170	130	632
171	131	631
172	131	629
173	132	627
174	132	624
175	133	622
176	133	621
177	134	621
178	134	619
179	135	617
180	136	615
181	136	613
182	137	612
183	137	610
184	138	608
185	140	615
186	141	614
187	141	612
188	142	612
189	143	611
190	144	613
191	145	613
192	146	612
193	147	611
194	147	609
195	148	607
196	148	606
197	149	605
198	150	603
199	152	609
200	153	608
201	154	609
202	154	608
203	155	607
204	156	605
205	156	604
206	157	603
207	159	605
208	159	604
209	160	604
210	161	604
211	162	602
212	163	602
213	163	601
214	164	600
215	165	599
216	165	598
217	166	597
218	167	596
219	167	595
220	168	594
221	169	593
222	170	594
223	171	594
224	172	592
225	172	591
226	173	590
227	174	590
228	175	590
229	175	588
230	176	587
231	177	587
232	178	587
233	179	586
234	180	586
235	181	586
