id,pclass,sex,age,sibsp,parch,fare,cabin,embarked,survived
0,1,0,-1.0,0,0,31.6833,186,2,1
1,1,1,54.0,0,1,77.2875,126,2,0
2,3,1,-1.0,0,0,7.775,186,2,1
3,1,1,35.0,0,0,26.55,186,0,1
4,3,0,47.0,1,0,14.5,186,2,0
5,3,1,-1.0,0,0,7.75,186,1,1
6,3,1,21.0,0,0,7.8542,186,2,0
7,1,1,42.0,1,0,52.0,186,2,0
8,3,0,14.5,1,0,14.4542,186,0,0
9,3,1,22.5,0,0,7.225,186,0,0
10,3,1,34.0,1,1,14.4,186,2,0
11,3,1,28.5,0,0,7.2292,186,0,0
12,3,1,29.0,0,0,7.75,186,1,1
13,1,0,48.0,1,0,39.6,3,0,1
14,1,0,30.0,0,0,56.9292,157,0,1
15,1,1,11.0,1,2,120.0,60,2,1
16,2,1,39.0,0,0,13.0,186,2,0
17,3,0,-1.0,3,1,25.4667,186,2,0
18,2,1,36.0,0,0,10.5,186,2,0
19,2,0,18.0,1,1,13.0,186,2,0
20,2,1,-1.0,0,0,0.0,186,2,0
21,1,1,41.0,0,0,30.5,7,2,0
22,1,1,61.0,0,0,33.5,25,2,0
23,3,0,27.0,0,0,7.8792,186,1,0
24,3,1,22.0,0,0,8.05,186,2,0
25,2,1,19.0,0,0,10.5,186,2,1
26,3,1,16.0,0,0,9.5,186,2,0
27,1,0,16.0,0,1,39.4,127,2,1
28,2,1,42.0,0,0,13.0,186,2,0
29,1,1,48.0,0,0,50.4958,20,0,0
30,3,0,-1.0,0,0,7.7208,186,1,1
31,1,1,55.0,1,0,59.4,186,0,0
32,2,1,1.0,2,1,39.0,183,2,1
33,3,1,28.0,0,0,56.4958,186,2,0
34,3,1,28.0,0,0,7.8958,186,2,0
35,2,1,30.0,1,0,24.0,186,0,0
36,3,1,19.0,0,0,7.775,186,2,0
37,1,0,-1.0,1,0,89.1042,112,0,1
38,3,1,25.0,0,0,0.0,186,2,1
39,3,1,-1.0,0,0,7.8958,186,0,0
40,3,1,31.0,3,0,18.0,186,2,0
41,3,1,20.5,0,0,7.25,186,2,0
42,3,1,-1.0,8,2,69.55,186,2,0
43,3,1,32.0,0,0,8.05,186,2,0
44,2,0,35.0,0,0,21.0,186,2,1
45,2,0,0.9167,1,2,27.75,186,2,1
46,1,1,31.0,0,0,50.4958,9,2,0
47,3,0,9.0,1,1,15.2458,186,0,0
48,3,0,45.0,0,0,7.225,186,0,1
49,1,0,58.0,0,1,153.4625,72,2,1
50,3,0,-1.0,0,0,7.7375,186,1,1
51,3,0,41.0,0,2,20.2125,186,2,0
52,3,1,48.0,0,0,7.8542,186,2,0
53,1,1,28.0,0,0,35.5,17,2,1
54,2,1,28.0,0,0,13.0,186,2,0
55,1,0,35.0,1,0,53.1,70,2,1
56,3,1,28.0,0,0,22.525,186,2,0
57,1,0,38.0,0,0,80.0,30,3,1
58,3,1,21.0,0,0,8.6625,186,2,0
59,3,1,70.5,0,0,7.75,186,1,0
60,1,0,50.0,0,0,28.7125,89,0,0
61,1,0,58.0,0,0,26.55,62,2,1
62,3,0,26.0,1,1,22.025,186,2,1
63,3,0,2.0,1,1,20.2125,186,2,0
64,3,0,9.0,3,2,27.9,186,2,0
65,2,0,30.0,3,0,21.0,186,2,1
66,3,1,-1.0,0,0,7.8958,186,2,0
67,3,1,51.0,0,0,8.05,186,2,0
68,1,0,49.0,1,0,76.7292,129,0,1
69,3,1,-1.0,8,2,69.55,186,2,0
70,2,0,31.0,0,0,21.0,186,2,1
71,3,1,-1.0,0,0,7.75,186,1,0
72,2,1,0.6667,1,1,14.5,186,2,1
73,2,1,25.0,0,0,10.5,186,2,0
74,2,1,36.0,0,0,13.0,186,2,0
75,3,0,-1.0,3,1,25.4667,186,2,0
76,1,1,49.0,1,0,56.9292,6,0,1
77,2,1,27.0,0,0,15.0333,186,0,0
78,3,1,28.0,2,0,7.925,186,2,0
79,3,1,29.0,0,0,7.775,186,2,0
80,2,1,25.0,1,0,26.0,186,2,0
81,1,1,71.0,0,0,34.6542,16,0,0
82,3,1,17.0,0,0,8.6625,186,2,0
83,3,1,-1.0,1,1,22.3583,186,0,1
84,1,1,26.0,0,0,30.0,77,0,1
85,1,1,47.0,0,0,25.5875,167,2,0
86,1,1,19.0,1,0,53.1,128,2,0
87,3,1,21.0,0,0,8.05,186,2,0
88,3,1,29.0,0,0,9.4833,186,2,0
89,1,1,40.0,0,0,0.0,59,2,0
90,3,0,19.0,1,1,15.7417,186,0,1
91,3,1,9.0,0,1,3.1708,186,2,1
92,1,1,62.0,0,0,26.55,108,2,0
93,1,0,51.0,1,0,77.9583,119,2,1
94,2,1,30.0,0,0,10.5,186,2,0
95,3,0,-1.0,0,0,7.225,186,0,1
96,1,0,60.0,1,4,263.0,80,2,1
97,2,0,31.0,0,0,21.0,186,2,1
98,3,1,27.0,0,0,8.6625,186,2,0
99,1,1,46.0,0,0,26.0,186,2,0
100,2,1,32.0,0,0,13.5,186,2,0
101,3,0,-1.0,0,0,7.75,186,1,1
102,1,1,-1.0,0,0,0.0,186,2,0
103,3,1,40.0,1,1,15.5,186,1,0
104,3,0,-1.0,0,2,15.2458,186,0,1
105,3,1,-1.0,0,0,8.05,186,2,0
106,2,0,50.0,0,1,26.0,186,2,1
107,3,0,-1.0,1,0,14.4542,186,0,0
108,3,1,-1.0,0,0,7.225,186,0,0
109,3,0,26.0,0,2,13.775,186,2,0
110,3,1,26.0,0,0,7.8875,186,2,0
111,1,1,48.0,0,0,26.55,149,2,1
112,1,0,27.0,1,2,52.0,51,2,1
113,1,1,4.0,0,2,81.8583,14,2,1
114,1,1,-1.0,0,0,25.925,186,2,0
115,3,0,16.0,0,0,7.7333,186,1,1
116,2,1,31.0,1,1,26.25,186,2,0
117,3,1,-1.0,0,0,7.8958,186,2,0
118,3,0,0.75,2,1,19.2583,186,0,1
119,3,1,23.0,0,0,7.8958,186,2,0
120,2,1,-1.0,0,0,13.0,186,2,1
