datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count
2011-01-01 00:00:00,winter,0,0,clear,9.84,14.395,81,5.18,16
2011-01-01 01:00:00,,0,0,clear,9.02,13.635,80,,40
2011-01-01 02:00:00,,0,0,clear,9.02,13.635,80,6.32,32
2011-01-01 03:00:00,winter,0,0,clear,9.84,14.395,75,,13
2011-01-01 04:00:00,winter,0,0,clear,9.84,14.395,75,,1
2011-01-01 05:00:00,winter,0,0,mist,9.84,12.88,75,6.32,1
2011-01-01 06:00:00,winter,0,0,clear,9.02,13.635,80,,2
2011-01-01 07:00:00,winter,0,0,clear,8.2,12.88,86,,3
2011-01-01 08:00:00,winter,0,0,clear,9.84,14.395,75,,8
2011-01-01 09:00:00,winter,0,0,clear,13.12,17.425,76,,14
2011-01-01 10:00:00,winter,0,0,clear,15.58,19.695,76,16.9979,36
2011-01-01 11:00:00,winter,0,0,clear,14.76,16.665,81,19.12,56
2011-01-01 12:00:00,winter,0,0,clear,17.22,21.21,77,19.12,84
2011-01-01 13:00:00,,0,0,mist,18.86,22.725,72,19.9995,94
2011-01-01 14:00:00,winter,0,0,mist,18.86,22.725,72,19.12,106
2011-01-01 15:00:00,winter,0,0,mist,18.04,21.97,77,19.9995,110
2011-01-01 16:00:00,winter,0,0,,17.22,21.21,82,19.9995,93
2011-01-01 17:00:00,winter,0,0,mist,18.04,21.97,82,,67
2011-01-01 18:00:00,,0,0,snow,17.22,21.21,88,16.9979,35
2011-01-01 19:00:00,winter,0,0,,17.22,21.21,88,,37
2011-01-01 20:00:00,winter,0,0,mist,16.4,20.455,87,16.9979,36
2011-01-01 21:00:00,winter,0,0,,16.4,20.455,87,12.998,34
2011-01-01 22:00:00,winter,0,0,mist,,20.455,94,15.13,28
2011-01-01 23:00:00,winter,0,0,mist,18.86,22.725,88,,39
2011-01-02 00:00:00,winter,0,0,mist,18.86,22.725,88,19.9995,17
2011-01-02 01:00:00,winter,0,0,mist,18.04,21.97,94,16.9979,17
2011-01-02 02:00:00,winter,0,0,mist,17.22,21.21,100,19.12,9
2011-01-02 03:00:00,winter,0,0,mist,18.86,22.725,94,12.998,6
2011-01-02 04:00:00,winter,0,0,mist,18.86,22.725,94,12.998,3
2011-01-02 06:00:00,,0,0,snow,,21.21,77,19.9995,2
2011-01-02 07:00:00,winter,0,0,mist,16.4,20.455,76,12.998,1
2011-01-02 08:00:00,winter,0,0,snow,16.4,20.455,71,15.13,8
2011-01-02 09:00:00,winter,0,0,mist,15.58,19.695,76,15.13,20
2011-01-02 10:00:00,winter,0,0,mist,,17.425,81,15.13,53
